Date,Open,High,Low,Close,Volume,Change,Price-Change,Amplitude
4/1/2000,6930.200195,6930.200195,6662.899902,6665.899902,633449000,0,0,0
5/1/2000,6665.899902,6665.899902,6500.399902,6535.899902,670234000,-130,-0.019502243,0.024827856
6/1/2000,6535.899902,6547.299805,6424.399902,6447.200195,785532000,-88.69970703,-0.013571154,0.018803823
7/1/2000,6447.200195,6532.399902,6438.799805,6504.799805,888306000,57.59960938,0.00893405,0.014517945
10/1/2000,6504.799805,6634.200195,6504.799805,6607.700195,735455000,102.9003906,0.015819148,0.019893063
11/1/2000,6607.700195,6638.100098,6510.799805,6518.899902,863011000,-88.80029297,-0.013438911,0.019265446
12/1/2000,6518.899902,6532.799805,6470.299805,6532.799805,779904000,13.89990234,0.002132247,0.009587507
13/1/2000,6532.799805,6596.5,6509.399902,6531.5,865831000,-1.299804688,-0.000198966,0.013332736
14/1/2000,6531.5,6666.799805,6531.5,6658.200195,1098626000,126.7001953,0.01939833,0.020714967
17/1/2000,6658.200195,6694.299805,6638.299805,6669.5,923472000,11.29980469,0.001697126,0.008410681
18/1/2000,6669.5,6695.899902,6491.5,6504.600098,854700000,-164.8999023,-0.024724477,0.03064696
19/1/2000,6504.600098,6505.899902,6434.399902,6445.5,863686000,-59.10009766,-0.009085893,0.010992221
20/1/2000,6445.399902,6492.700195,6328.299805,6348.700195,1008169000,-96.79980469,-0.015018199,0.025506228
21/1/2000,6348.700195,6374.700195,6287.100098,6346.299805,1007934000,-2.400390625,-0.000378092,0.013798115
24/1/2000,6346.299805,6480.399902,6346.299805,6379.799805,672107000,33.5,0.005278666,0.021130438
25/1/2000,6379.799805,6379.799805,6262.899902,6274.100098,805330000,-105.699707,-0.016567872,0.018323444
26/1/2000,6274.100098,6380,6270.399902,6375.600098,1021822000,101.5,0.016177619,0.017468656
27/1/2000,6375.600098,6451.600098,6375.600098,6441,816596000,65.39990234,0.010257843,0.011920447
28/1/2000,6441,6475.100098,6354.799805,6375.600098,918227000,-65.39990234,-0.010153688,0.01867727
31/1/2000,6375.600098,6375.600098,6246.799805,6268.5,931453000,-107.1000977,-0.016798434,0.020202066
1/2/2000,6268.5,6367.100098,6231.899902,6290.899902,1214559000,22.39990234,0.003573407,0.021568189
2/2/2000,6290.899902,6345.200195,6241.600098,6302.799805,1336831000,11.89990234,0.001891606,0.016468248
3/2/2000,6302.799805,6393.5,6251.600098,6324.299805,1865400000,21.5,0.003411182,0.022513789
4/2/2000,6324.299805,6364.899902,6171.200195,6185,2309287000,-139.2998047,-0.022026123,0.03062785
7/2/2000,6185,6232.100098,6100.700195,6118.600098,1230759000,-66.39990234,-0.010735635,0.021244932
8/2/2000,6118.600098,6295.700195,6117.299805,6285.799805,2217462000,167.199707,0.027326464,0.02915706
9/2/2000,6285.799805,6450.899902,6271.5,6315.399902,1840149000,29.60009766,0.004709042,0.028540505
